"","subid","session","scan","site","uniqueid","raw","symlink","reorient","mni","site.name","snr","cnr","fber","efc","qi1","fwhm"
"481","0025115",1,2,24,"NYU_org_0025115_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"484","0025116",1,2,24,"NYU_org_0025116_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"487","0025117",1,2,24,"NYU_org_0025117_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"490","0025118",1,2,24,"NYU_org_0025118_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"494","0025120",1,2,24,"NYU_org_0025120_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"497","0025121",1,2,24,"NYU_org_0025121_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"500","0025122",1,2,24,"NYU_org_0025122_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"503","0025123",1,2,24,"NYU_org_0025123_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"506","0025124",1,2,24,"NYU_org_0025124_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"511","0025127",1,2,24,"NYU_org_0025127_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"514","0025128",1,2,24,"NYU_org_0025128_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"520","0025132",1,2,24,"NYU_org_0025132_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"524","0025134",1,2,24,"NYU_org_0025134_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"527","0025135",1,2,24,"NYU_org_0025135_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"530","0025136",1,2,24,"NYU_org_0025136_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"533","0025137",1,2,24,"NYU_org_0025137_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"536","0025138",1,2,24,"NYU_org_0025138_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"539","0025139",1,2,24,"NYU_org_0025139_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"542","0025140",1,2,24,"NYU_org_0025140_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"545","0025141",1,2,24,"NYU_org_0025141_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"549","0025143",1,2,24,"NYU_org_0025143_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"552","0025144",1,2,24,"NYU_org_0025144_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"557","0025147",1,2,24,"NYU_org_0025147_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"560","0025148",1,2,24,"NYU_org_0025148_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"563","0025149",1,2,24,"NYU_org_0025149_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"566","0025150",1,2,24,"NYU_org_0025150_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"569","0025151",1,2,24,"NYU_org_0025151_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"572","0025152",1,2,24,"NYU_org_0025152_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"577","0025155",1,2,24,"NYU_org_0025155_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"580","0025156",1,2,24,"NYU_org_0025156_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"583","0025157",1,2,24,"NYU_org_0025157_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"586","0025158",1,2,24,"NYU_org_0025158_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"589","0025159",1,2,24,"NYU_org_0025159_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"592","0025160",1,2,24,"NYU_org_0025160_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"595","0025161",1,2,24,"NYU_org_0025161_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"598","0025162",1,2,24,"NYU_org_0025162_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"602","0025164",1,2,24,"NYU_org_0025164_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"605","0025165",1,2,24,"NYU_org_0025165_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"608","0025166",1,2,24,"NYU_org_0025166_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"618","0025174",1,2,24,"NYU_org_0025174_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
"621","0025175",1,2,24,"NYU_org_0025175_session_1_anat_2",TRUE,FALSE,FALSE,FALSE,"NYU 2",NA,NA,NA,NA,NA,NA
