"","subject","session","scan"
"843","0025314",2,1
"844","0025315",1,1
"845","0025315",2,1
"846","0025316",2,1
"847","0025317",1,1
"848","0025317",2,1
"849","0025318",1,1
"850","0025318",2,1
"851","0025319",1,1
"852","0025319",2,1
"853","0025320",1,1
"854","0025320",2,1
"855","0025321",1,1
"856","0025321",2,1
"857","0025322",1,1
"858","0025322",2,1
"859","0025323",1,1
"860","0025323",2,1
"861","0025324",1,1
"862","0025324",2,1
"863","0025325",1,1
"864","0025325",2,1
"865","0025326",1,1
"866","0025326",2,1
"867","0025327",1,1
"868","0025327",2,1
"869","0025328",1,1
"870","0025328",2,1
"871","0025329",1,1
"872","0025329",2,1
"873","0025330",1,1
"874","0025330",2,1
"875","0025331",1,1
"876","0025331",2,1
"877","0025332",1,1
"878","0025332",2,1
"879","0025333",1,1
"880","0025333",2,1
"881","0025335",1,1
"882","0025335",1,2
"883","0025335",1,3
"884","0025335",1,5
"885","0025335",1,6
"886","0025336",1,1
"887","0025336",1,2
"888","0025336",1,3
"889","0025336",1,4
"890","0025336",1,5
"891","0025336",1,6
"892","0025337",1,1
"893","0025337",1,2
"894","0025337",1,3
"895","0025337",1,4
"896","0025337",1,5
"897","0025338",1,1
"898","0025338",1,2
"899","0025338",1,3
"900","0025338",1,4
"901","0025338",1,5
"902","0025338",1,6
"903","0025339",1,1
"904","0025339",1,2
"905","0025339",1,3
"906","0025339",1,4
"907","0025339",1,5
"908","0025339",1,6
"909","0025340",1,1
"910","0025340",1,2
"911","0025340",1,3
"912","0025340",1,4
"913","0025340",1,5
"914","0025340",1,6
"915","0025341",1,1
"916","0025341",1,2
"917","0025341",1,4
"918","0025341",1,5
"919","0025341",1,6
"920","0025342",1,1
"921","0025342",1,2
"922","0025342",1,4
"923","0025342",1,5
"924","0025342",1,6
"925","0025343",1,1
"926","0025343",1,2
"927","0025343",1,3
"928","0025343",1,4
"929","0025343",1,5
"930","0025343",1,6
"931","0025344",1,1
"932","0025344",1,2
"933","0025344",1,3
"934","0025344",1,4
"935","0025344",1,5
"936","0025344",1,6
"937","0025345",1,1
"938","0025345",1,2
"939","0025345",1,3
"940","0025345",1,4
"941","0025345",1,5
"942","0025345",1,6
"943","0025346",1,1
"944","0025346",1,2
"945","0025346",1,3
"946","0025346",1,4
"947","0025346",1,5
"948","0025346",1,6
"949","0025347",1,1
"950","0025347",1,2
"951","0025347",1,3
"952","0025347",1,4
"953","0025347",1,5
"954","0025347",1,6
"955","0025348",1,1
"956","0025348",1,2
"957","0025348",1,4
"958","0025348",1,5
"959","0025348",1,6
"960","0025349",1,1
"961","0025349",1,2
"962","0025349",1,3
"963","0025349",1,4
"964","0025349",1,5
"965","0025349",1,6
"966","0025350",1,1
"967","0025350",1,2
"968","0025350",1,3
"969","0025350",1,4
"970","0025350",1,5
"971","0025350",1,6
"972","0025351",1,1
"973","0025351",1,2
"974","0025351",1,3
"975","0025351",1,4
"976","0025351",1,5
"977","0025351",1,6
"978","0025352",1,1
"979","0025352",1,2
"980","0025352",1,3
"981","0025352",1,4
"982","0025352",1,5
"983","0025352",1,6
"984","0025353",1,1
"985","0025353",1,2
"986","0025353",1,3
"987","0025353",1,4
"988","0025353",1,5
"989","0025353",1,6
"990","0025354",1,1
"991","0025354",1,2
"992","0025354",1,3
"993","0025354",1,4
"994","0025354",1,5
"995","0025354",1,6
"996","0025355",1,1
"997","0025355",1,2
"998","0025355",1,3
"999","0025355",1,4
"1000","0025355",1,5
"1001","0025356",1,1
"1002","0025356",1,2
"1003","0025356",1,3
"1004","0025356",1,4
"1005","0025356",1,5
"1006","0025356",1,6
"1007","0025357",1,1
"1008","0025357",1,2
"1009","0025357",1,3
"1010","0025357",1,4
"1011","0025357",1,5
"1012","0025357",1,6
"1013","0025358",1,1
"1014","0025358",1,2
"1015","0025358",1,4
"1016","0025358",1,5
"1017","0025358",1,6
"1018","0025359",1,1
"1019","0025359",1,2
"1020","0025359",1,3
"1021","0025359",1,4
"1022","0025359",1,5
"1023","0025359",1,6
"1024","0025360",1,1
"1025","0025360",1,2
"1026","0025360",1,3
"1027","0025360",1,4
"1028","0025360",1,5
"1029","0025360",1,6
"1030","0025361",1,1
"1031","0025361",1,2
"1032","0025361",1,3
"1033","0025361",1,4
"1034","0025361",1,5
"1035","0025361",1,6
"1036","0025362",1,1
"1037","0025362",1,2
"1038","0025362",1,3
"1039","0025362",1,4
"1040","0025363",1,1
"1041","0025363",1,2
"1042","0025363",1,3
"1043","0025363",1,4
"1044","0025364",1,1
"1045","0025364",1,2
"1046","0025364",1,3
"1047","0025364",1,4
