subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
0026019_session_1,,,,,,,,,,,,,,,,,,,,
0026019_session_2,4.7105207443237305,30307179.0,9.117035865783691,14.405522346496582,97.93312072753906,17794.0,39.64625549316406,0.39045306626274234,522.0241480110521,221.2080841064453,9014421.0,120.84443664550781,240.05316162109375,1216048.0,30.580951690673828,0.04458606985493437,26.330175399780273,371.3888244628906,257048.0,18.163734436035156
0026020_session_1,8.507153511047363,29263781.0,12.150330543518066,14.30730152130127,98.35774230957031,19212.0,42.521846771240234,0.42766484276964545,337.024034031111,257.6837463378906,10057819.0,132.95248413085938,270.7674865722656,1600432.0,38.58595275878906,0.07138780187016845,22.2847843170166,444.6059265136719,335426.0,25.724119186401367
0026020_session_2,7.8350749015808105,28945349.0,11.209639549255371,13.271157264709473,94.77950286865234,19810.0,39.99676513671875,,311.098377289637,234.2059326171875,10376251.0,121.77650451660156,252.9478759765625,1519155.0,36.05796432495117,0.06914243804764628,22.565210342407227,401.7127685546875,333849.0,26.014917373657227
0026021_session_1,7.7872090339660645,30262098.0,11.042501449584961,14.293886184692383,107.71893310546875,20835.0,41.01859664916992,,317.46094075416204,235.81033325195312,9059502.0,118.36813354492188,246.1975860595703,1520803.0,31.63749122619629,0.07297511230054175,22.295454025268555,404.037841796875,313772.0,22.088754653930664
0026021_session_2,7.174831867218018,29742496.0,10.816115379333496,13.607939720153809,112.51390075683594,18992.0,43.7741584777832,0.4178469069206089,338.7585709697538,232.22531127929688,9579104.0,115.57286071777344,249.2754669189453,1481972.0,31.891918182373047,0.054711312729099806,23.046672821044922,396.46051025390625,314605.0,21.14432716369629
0026022_session_1,6.6466851234436035,29025850.0,11.192158699035645,15.7620267868042,108.61941528320312,19625.0,40.664833068847656,0.41405245418014935,473.89620248597504,260.71453857421875,10295750.0,154.99844360351562,252.03182983398438,1513822.0,35.22726821899414,0.056325826806105594,22.51860809326172,428.44293212890625,314035.0,22.87906265258789
0026022_session_2,5.529203414916992,28814804.0,9.827651023864746,15.687435150146484,98.42880249023438,21145.0,37.75818634033203,0.4220843586967367,488.5357932775016,232.65118408203125,10506796.0,134.67471313476562,235.5612030029297,1483264.0,33.75604248046875,0.0459647409019336,23.969226837158203,389.7318420410156,310367.0,20.127851486206055
0026023_session_1,6.577979564666748,29282659.0,11.041906356811523,12.23831558227539,134.5706787109375,8907.0,33.4459228515625,0.41072312192929433,411.4205039416409,242.81800842285156,10038941.0,140.34576416015625,258.945556640625,1298412.0,32.89035415649414,0.05524839803653077,23.45116424560547,394.07989501953125,316980.0,18.465099334716797
0026023_session_2,,,,,,,,,,,,,,,,,,,,
0026024_session_1,,,,,,,,,,,,,,,,,,,,
0026024_session_2,6.592872619628906,28547277.0,11.188138961791992,13.971569061279297,109.53033447265625,17125.0,43.71741485595703,,500.32737438585445,265.0624084472656,10774323.0,163.08807373046875,261.6085510253906,1503734.0,36.677433013916016,0.043411005540038024,23.38266944885254,417.9244079589844,331820.0,22.10938835144043
0026025_session_1,6.849801063537598,28299158.0,10.99899959564209,12.90740966796875,112.15416717529297,21172.0,50.253334045410156,0.4330310586534625,432.8582313449733,254.10337829589844,11022442.0,139.61099243164062,268.9661865234375,1417583.0,34.83090591430664,0.04734412946137832,24.45369529724121,410.9347839355469,327044.0,20.470327377319336
0026025_session_2,6.764964580535889,28456332.0,10.65420913696289,12.783709526062012,109.38409423828125,21862.0,48.95552444458008,0.43217316658398675,418.6154998559559,244.27442932128906,10865268.0,133.69920349121094,262.5849914550781,1393495.0,33.89370346069336,0.04876605319336308,24.646127700805664,398.7853088378906,321838.0,20.205806732177734
0026026_session_1,,,,,,,,,,,,,,,,,,,,
0026026_session_2,,,,,,,,,,,,,,,,,,,,
0026027_session_1,8.289691925048828,28866923.0,11.856348991394043,13.803926467895508,115.98583984375,18506.0,38.89772033691406,,353.0864717759302,251.92823791503906,10454677.0,136.9154815673828,248.8903045654297,1643219.0,31.58707618713379,0.07400251838410349,20.99215316772461,412.5544738769531,320118.0,23.005970001220703
0026027_session_2,,,,,,,,,,,,,,,,,,,,
0026028_session_1,7.9804205894470215,29855566.0,10.681722640991211,14.728623390197754,112.4400634765625,14548.0,39.76708221435547,0.40872642026097006,375.06671031614553,247.50938415527344,9466034.0,136.98602294921875,236.8734588623047,1654582.0,32.51948928833008,0.06114323875152794,22.175586700439453,394.2005310058594,322485.0,23.336210250854492
0026028_session_2,7.450213432312012,29551746.0,10.97359848022461,13.943704605102539,123.37571716308594,13566.0,40.09457015991211,0.41402773229765066,432.9594980953004,263.90545654296875,9769854.0,143.61207580566406,252.8772735595703,1599216.0,33.36048889160156,0.06564539367656991,23.044151306152344,405.889892578125,323032.0,23.189455032348633
