Subject,Scan,Mean_Relative_RMS_Displacement,Max_Relative_RMS_Displacement,Movements_gt_threshold,Mean_Relative_Mean_Rotation,Mean_Relative_Maxdisp,Max_Relative_Maxdisp,Max_Abs_Maxdisp,Max_Relative_Roll,Max_Relative_Pitch,Max_Relative_Yaw,Max_Relative_dS-I,Max_Relative_dL-R,Max_Relative_dP-A,Mean_Relative_Roll,Mean_Relative_Pitch,Mean_Relative_Yaw,Mean_Relative_dS-I,Mean_Relative_dL-R,Mean_Relative_dP-A,Max_Abs_Roll,Max_Abs_Pitch,Max_Abs_Yaw,Max_Abs_dS-I,Max_Abs_dL-R,Max_Abs_dP-A,Mean_Abs_Roll,Mean_Abs_Pitch,Mean_Abs_Yaw,Mean_Abs_dS-I,Mean_Abs_dL-R,Mean_Abs_dP-A,MeanFD,NumFD_greater_than_0.20,rootMeanSquareFD,FDquartile(top1/4thFD),PercentFD_greater_than_0.20,MeanDVARS,MeanFD_Jenkinson
0026037_session_1,rest_1_rest,0.045,0.251,21.000,0.010,-0.000,0.495,0.920,0.079500,0.174700,0.075400,0.300800,0.131700,0.153800,-0.001004,0.002499,-0.001252,0.001897,-0.002486,0.000468,0.167200,0.355600,0.238100,0.408400,0.353200,0.323700,0.046698,0.121733,0.076304,0.103891,0.129655,0.057885,0.1535,58.0000,0.3917,0.2672,24.0664,24.5675,4.0450,
0026037_session_2,rest_1_rest,0.038,0.133,9.000,0.007,0.001,0.155,1.679,0.053200,0.066300,0.045100,0.189100,0.075000,0.181600,0.003115,0.003839,0.000387,0.005353,0.003457,0.001848,0.593500,0.517600,0.148000,0.719200,0.699500,0.265900,0.130696,0.189681,0.060044,0.395242,0.151584,0.107134,0.1369,27.0000,0.3700,0.2134,11.2033,24.7425,3.8326,
0026038_session_1,rest_1_rest,0.057,0.339,48.000,0.010,-0.007,1.001,2.468,0.103400,0.414600,0.129100,0.686400,0.208000,0.402600,0.000138,0.006304,-0.000365,-0.003248,0.001372,-0.001203,0.144300,1.160200,0.110700,0.654800,0.386900,0.284100,0.046762,0.226957,0.029889,0.144034,0.095127,0.070097,0.1543,46.0000,0.3928,0.3354,19.0871,26.6562,4.5370,
0026038_session_2,rest_1_rest,0.044,0.332,12.000,0.007,0.000,0.830,1.062,0.064600,0.352300,0.118600,0.412700,0.150000,0.165200,0.000703,0.002011,-0.000207,-0.001618,0.000578,0.000060,0.118600,0.359700,0.118100,0.534700,0.106800,0.170400,0.032213,0.106459,0.017060,0.095455,0.025887,0.019455,0.1139,23.0000,0.3374,0.2449,9.5436,27.2151,3.4773,
0026039_session_1,rest_1_rest,0.013,0.090,0.000,0.002,0.000,0.117,0.292,0.024300,0.020000,0.023400,0.084900,0.014200,0.078100,-0.000266,0.000823,-0.000051,-0.000993,-0.000184,-0.000304,0.051800,0.113900,0.029600,0.158800,0.037000,0.074900,0.024418,0.048209,0.010185,0.057353,0.012754,0.026873,0.0507,0.0000,0.2251,0.0813,0.0000,21.3395,1.5790,
0026039_session_2,rest_1_rest,0.033,1.016,9.000,0.006,0.001,1.305,1.594,0.058300,0.185000,0.064700,1.281000,0.073700,0.255300,0.001664,0.000079,0.000020,0.001056,0.001712,-0.000578,0.236700,0.237200,0.067500,1.174500,0.264100,0.145000,0.104947,0.034638,0.013902,0.121987,0.137545,0.060180,0.1126,21.0000,0.3355,0.2487,8.7137,25.0602,3.3127,
0026040_session_1,rest_1_rest,0.018,0.104,1.000,0.009,-0.002,0.159,0.693,0.028700,0.131400,0.043300,0.161500,0.039300,0.127200,-0.000774,-0.000289,-0.000060,0.001507,-0.001108,-0.000937,0.150900,0.093700,0.065400,0.405400,0.221800,0.196100,0.029029,0.020171,0.023189,0.102259,0.049823,0.044714,0.1139,15.0000,0.3375,0.1892,6.2241,25.4628,2.7581,
0026040_session_2,rest_1_rest,0.029,0.107,2.000,0.005,0.002,0.411,1.114,0.046300,0.168900,0.047500,0.152300,0.053000,0.170800,-0.000211,0.001306,0.000510,-0.000625,-0.000729,-0.000681,0.077400,0.394000,0.117600,0.432100,0.142300,0.159900,0.039395,0.124248,0.037643,0.150378,0.072017,0.065854,0.1213,18.0000,0.3483,0.1929,7.4689,25.9878,3.6899,
0026041_session_1,rest_1_rest,0.104,1.703,60.000,0.047,0.001,4.912,5.512,0.387800,1.868100,0.621800,2.076200,0.474900,0.472600,0.003656,-0.000871,0.004663,0.001918,0.000978,-0.000953,0.647100,2.494300,0.905200,2.915900,0.560100,0.516300,0.406007,0.707225,0.269009,0.485653,0.211990,0.107652,0.4137,120.0000,0.6432,1.1461,49.7925,32.8675,8.3877,
0026041_session_2,rest_1_rest,0.017,0.231,3.000,0.004,0.002,0.517,0.778,0.077300,0.172600,0.045400,0.242900,0.083900,0.151500,0.000108,0.001151,-0.000307,-0.002283,0.000423,-0.000931,0.083900,0.210400,0.080600,0.397200,0.141500,0.134500,0.021910,0.042107,0.020599,0.063141,0.040618,0.047678,0.0608,10.0000,0.2465,0.1347,4.1494,27.9264,1.5169,
0026042_session_1,rest_1_rest,0.018,0.207,1.000,0.008,0.001,0.325,0.508,0.065700,0.111300,0.070600,0.260400,0.059200,0.103200,-0.000868,0.000591,0.000176,-0.000725,-0.000231,-0.000391,0.176000,0.121500,0.101000,0.238400,0.208900,0.112700,0.066729,0.044594,0.028874,0.037732,0.072830,0.038897,0.0919,7.0000,0.3031,0.1558,2.9046,24.0621,1.9267,
